outer_fold,h,alpha,inner_cv_mse
6,8,10.0,455.1315486955624
6,8,100.0,424.1710984250334
6,12,0.0001,509.8009108296852
6,12,0.001,508.81456230230845
6,12,0.01,511.0050969296656
6,12,0.1,511.56128081343684
6,12,1.0,513.3346736816841
6,12,10.0,507.56196038341614
6,12,100.0,440.19249329929596
6,16,0.0001,497.0566155912932
6,16,0.001,500.71006984842677
6,16,0.01,499.632750501699
6,16,0.1,500.49348007549753
6,16,1.0,497.4835897929552
6,16,10.0,492.378209780858
6,16,100.0,441.3341051951805
6,20,0.0001,478.59781310946454
6,20,0.001,479.8781238349919
6,20,0.01,478.1354501021748
6,20,0.1,480.79158291346164
6,20,1.0,478.49343070513277
6,20,10.0,456.605648170116
6,20,100.0,419.0162827768395
6,24,0.0001,489.6254169828852
6,24,0.001,491.95293838660575
6,24,0.01,491.73917667136885
6,24,0.1,490.8383225307795
6,24,1.0,491.4026765954212
6,24,10.0,483.82462806744815
6,24,100.0,413.6309896658207
7,1,0.0001,378.02735521569156
7,1,0.001,378.0273115800522
7,1,0.01,378.02760649493456
7,1,0.1,378.66321652160497
7,1,1.0,381.54439547267685
7,1,10.0,381.45804551656664
7,1,100.0,382.25294575099736
7,2,0.0001,401.14748514148863
7,2,0.001,401.1478221305157
7,2,0.01,401.1462298792977
7,2,0.1,401.13620632754703
7,2,1.0,400.02814902009357
7,2,10.0,402.2818119267543
7,2,100.0,392.8541914165773
7,4,0.0001,416.1802449724564
7,4,0.001,415.4425627705885
7,4,0.01,415.26543100469297
7,4,0.1,416.30400626343055
7,4,1.0,416.8667271196151
7,4,10.0,418.1165464329072
7,4,100.0,412.4606963092231
7,8,0.0001,421.34402277864973
7,8,0.001,421.3339770204091
7,8,0.01,421.3955801390898
7,8,0.1,418.04541570830077
7,8,1.0,418.2915593817597
7,8,10.0,414.65899712537976
7,8,100.0,396.326475108107
7,12,0.0001,469.57288014182234
7,12,0.001,469.54183061072337
7,12,0.01,468.3989908791771
7,12,0.1,467.5636898800133
7,12,1.0,466.2912273215335
7,12,10.0,455.3612350988404
7,12,100.0,415.78962978210194
7,16,0.0001,464.3854994413975
7,16,0.001,464.3030176694141
7,16,0.01,464.29519191775745
7,16,0.1,464.3945408162839
7,16,1.0,464.9127538120233
7,16,10.0,460.7442984727545
7,16,100.0,417.0247276111546
7,20,0.0001,466.3875776366701
7,20,0.001,466.6400963641787
7,20,0.01,466.73306872053126
7,20,0.1,464.4513359647987
7,20,1.0,467.10836987014153
7,20,10.0,458.0804987837306
7,20,100.0,416.0927281932833
7,24,0.0001,492.75322854650483
7,24,0.001,490.3120361477847
7,24,0.01,489.7947840068858
7,24,0.1,495.53836700310194
7,24,1.0,483.6924703101175
7,24,10.0,473.2491717435517
7,24,100.0,402.3161553504862
8,1,0.0001,403.2042127247305
8,1,0.001,403.20416615249434
8,1,0.01,403.17090187324663
8,1,0.1,403.49402407895
8,1,1.0,403.93624148459514
8,1,10.0,406.2002215103918
8,1,100.0,400.22593882270604
8,2,0.0001,431.8329707032858
8,2,0.001,431.83288086080995
8,2,0.01,431.82598519792316
8,2,0.1,431.82178333884985
